Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50
11155.254690517833,10220.012203502094,10320.821099597677,11149.793139984042,9940.598785606917,10560.593283113747,9692.176179790978,10399.29913330572,10369.091651039182,9830.188537154425,9768.86817930864,10022.693881747417,10053.318888354279,9870.621717266898,10759.71189887024,10579.840189597493,10135.183872060346,9800.59199402299,10741.157936747699,10503.185626247976,9892.454475679715,10365.243424564,10488.634866837492,10010.704335613653,10261.403049111506,10246.29531107934,10157.437236319996,9897.567283839795,10460.0354995906,9722.06335548099,11163.590358697375,9760.423224512786,9354.014225565074,10290.984936277699,10795.506218430908,9866.063260844074,10386.404797692736,9849.371562793523,10137.378429636874,10003.352363222386,9633.948216625939,10764.212687422627,10206.471757496198,9771.160633020543,11474.27411430508,10622.244184131736,10335.418494830712,10579.127449622738,9518.312241623751,10533.794741970643
11381.117631705185,10405.17531435013,10540.147662247215,11305.704950303441,10107.672962199948,10827.476440663044,9851.487671274497,10600.923927983364,10510.357072847042,9986.620094491114,9969.641794468133,10165.738149077377,10264.854442825435,10044.748745306155,10953.282248250192,10757.927159288316,10305.52823145319,9934.118845626417,10893.499792367606,10700.72383499192,10026.889492035256,10596.675278625475,10488.634866837492,10208.00501612819,10400.851948283045,10405.78185537396,10379.015979236858,10091.530569338225,10626.490053011774,9941.687151668852,11344.697055291565,10033.33578949525,9484.603860075606,10494.765363372939,10947.123131735716,10065.635160240048,10544.566366706922,10128.005658922093,10324.793967830556,10173.080515510374,9859.668608922595,10958.151492378081,10389.983766708036,9917.99933227764,11649.388652782469,10622.244184131734,10555.687939686775,10808.285995325605,9802.430049127192,10703.763252909288
11539.303065117881,10609.046242852817,10721.923942019417,11453.129793722957,10097.696854807698,11010.131949345712,10061.690791993846,10772.04997335821,10541.79715874692,10234.832681144442,10167.883990266151,10303.64921885463,10470.472265667864,10295.648059702971,11208.435249999828,10959.875648822592,10466.22052559124,9959.580964403842,10939.08948972873,10883.414003724609,10214.429606240814,10717.43846978524,10696.432691416367,10438.911358839061,10660.646064505856,10663.079833282183,10405.6184129064,10161.006273144685,10890.606296360102,10115.324959637062,11565.703191351506,10234.954317902673,9564.863651533928,10654.938637173498,11020.048080885857,10306.970045130669,10586.142306459973,10340.00643364037,10487.05412025772,10290.387832870303,9859.668608922595,10986.238307043359,10648.518221749793,10155.782739622806,11721.037926489418,10821.39767683944,10762.797105783156,11057.297028260611,9998.546038430515,10958.019574997274
11729.726670688156,10970.0023343622,10721.923942019417,11670.024446866406,10043.45398872081,11318.491492042971,9622.092038366613,11087.558046054452,10618.098456157119,11288.63417105707,10069.70005730799,11364.536214923432,11211.990574233872,9663.787900916052,11262.2966233704,10943.993263417811,10761.446482036166,10348.425575682193,10974.51649779535,11310.183648395308,11075.839440267326,11820.9301417413,10693.40750600241,10698.995665846094,10872.3958756871,11485.473690583285,10476.6314432792,10542.653169373281,11084.219988628625,9955.875181377993,11772.173851862888,10234.954317902673,9619.557834516565,10859.158530289475,10649.060148567394,10291.158472905636,10676.76427743639,10325.022325012766,10764.036827612685,10188.727780572133,9733.532926160213,11061.213771607121,10947.341823115015,10288.481318160184,12390.39813571505,10986.162880140306,11472.068813871572,10804.676798501525,10459.301522079752,11985.824076380362
11795.046815683534,11162.991417647247,11217.469805215103,11345.948024312705,10566.12400514853,11318.491492042971,9557.598616307956,11288.176215037198,10597.802186454603,11460.567863985076,9761.360143521917,11537.625948387871,11046.518690082994,9654.35780129915,10832.53328755209,11110.677837357056,10602.623941669104,10348.425575682193,10572.934232576605,11119.045859299571,10852.20959329298,12000.971069839092,10225.82089497,10507.43274986443,10582.072512307983,11615.235290035112,10076.848678913044,10228.798996008476,11064.845942702395,9674.254203727976,11654.225407873124,10348.817014464927,9766.07034238607,10788.866281029477,10420.574988530627,10037.567865659645,10618.580761417114,9867.22590932586,10849.978108979447,10074.300279650353,10078.466207747928,11877.435733324934,10784.440974447583,9895.878263946393,12514.244104703459,11186.679921674462,11550.032536055718,11021.982304639905,9995.551362838252,12127.827894418488
11795.046815683534,12189.89695580556,12076.888950080398,11614.849975712077,11830.99256721136,12529.974476940963,11459.069420782687,11376.27051936912,11662.316808893482,11535.698290240596,10151.638815380806,11557.989073434104,11042.701179498712,9654.35780129915,11011.218182976143,11210.754826626839,10573.505287751203,10507.687676717484,12676.404630106437,12340.920753201244,11232.462986349283,12174.722048794882,10704.287423553562,10507.43274986443,12687.360957739795,11801.761579956164,10243.068399139029,10228.798996008476,11497.885165410293,10054.385472842177,12292.784737250682,10519.522909097834,10004.154292787864,10867.84322675689,10506.132526587024,10585.137559614748,10692.394884090143,9977.56209033536,10828.856198967354,10100.17446706443,11003.438768121629,11850.709500622883,11047.351461476097,10059.112839440784,12604.029581283723,11216.209485333682,11829.235869141896,11752.77446900621,9995.551362838252,14504.524171155503
12820.892489747072,13727.716121056123,12894.314075048864,12348.071093802764,13107.44020387588,13850.220279885489,13031.900062449185,11678.504784055787,12623.89466892018,11905.967945887824,10885.273895548864,11992.236744829293,11406.97009946477,9889.499441524835,11322.777139870353,11548.699903029277,10922.575056079706,11949.935083040808,14416.322322919637,13449.725274414079,11693.684400747432,12555.626979204957,11277.0314187078,10768.318135253116,12975.203456651558,12116.409805541536,11140.308504497743,11031.370024528262,11850.431484882263,10054.385472842177,12598.153932215695,10865.786666133237,10333.454022568068,11129.381880379955,10988.18073858548,11570.103259810563,11046.913135163928,10262.630517274953,11106.635856752555,10388.629030984726,11316.816645109737,12532.312946339021,11412.064611028149,10314.307925458235,13014.876689012903,11511.055318713024,12219.529955409405,12049.765434880823,10608.062844359982,14982.390356170159
12791.148446344969,13795.075953789159,13007.248903258984,11546.677778642937,11442.673582892534,13811.90846681317,12989.976535732989,11669.482929756385,12701.932859682529,11930.648580232531,10923.839358846144,9932.469411562333,11471.059825324084,9848.006574896788,9377.995113729756,11534.59518338472,11011.639879298233,9897.433415299705,14347.394473014847,12088.843061207841,11752.24194998147,12438.097788178979,10536.036333667926,10810.022673341911,12913.165937212754,12215.209391887534,11115.49879534173,10151.938729916073,11850.431484882263,8846.184691326498,11780.18180479891,10852.516005718624,10386.228714560413,10650.581963126879,10974.76059519074,10350.758942874381,11033.42126040594,10052.275929300757,11071.321412727628,9477.01211092386,11087.694559859698,11336.100489876324,10649.835697757313,10299.906303749856,13018.578685844375,11611.114928218756,12198.093946989362,12068.739731583997,10693.154309419799,15090.841733179386
12864.393280505705,13968.921517096247,13073.309246062554,11640.84215537051,11586.367542190867,14098.283135493612,13063.77224815693,11847.65936597423,12868.872015832865,12061.266137338213,11066.079520673991,9970.118056621337,11602.343894663662,9923.45827787625,9560.015593177766,11773.752276116811,11164.896581058489,10089.535837374984,14420.26105719991,12236.238520578816,11876.564226402223,12547.163207730222,10642.646655573693,10864.92389102649,12978.748457762345,12416.373477627556,11334.15518776671,10229.194066065349,11939.921465424444,9029.600561490392,11905.15894502365,10901.594852472264,10548.07114338455,10704.673424032604,11078.556382582648,10403.327682746198,11217.300316583569,10091.226249125204,11173.485399190027,9616.773513046657,11171.549205591908,11456.263910282494,10787.470216969235,10474.681078132962,13144.260721947667,11749.067375652496,12450.787031279484,12176.959178400291,10821.940788773314,15272.540825534557
12913.27500870566,14110.098196942628,13258.546747846616,11519.051907776571,11573.788160258542,14087.843853353212,12927.094846695916,11827.661102966671,12945.20547239694,12046.933447661162,10915.664457327746,9872.4344067562,11462.94182251963,10054.71931165831,9548.65519906619,11827.176131834822,11048.085829669637,10076.600538546743,14624.583702907557,12289.934027874837,11893.378813151634,12409.372138457931,10735.433669865339,11018.870479512027,13162.646114839783,12255.460086518036,11413.712564676407,10374.132911953433,11928.390524771448,9042.384477702135,11840.737604982938,10753.415537725226,10563.076140124333,10671.542860095658,11140.372149730196,10550.733851599221,11251.32744118014,10194.33384075477,11220.703815281313,9499.81723571959,11267.876160998749,11464.08909494783,10774.651209307875,10433.489487469898,13221.46860523746,11592.422513475472,12488.182363686645,12339.396419110091,10821.940788773314,15405.40709492865
