Date,BuyHold
2024-05-08,21076.305
2024-05-09,21024.256
2024-05-10,21036.334
2024-05-13,21043.102
2024-05-14,21240.324
2024-05-15,21606.707
2024-05-16,21498.215
2024-05-17,21415.328
2024-05-20,21561.344
2024-05-21,21697.201
2024-05-22,21618.686
2024-05-23,22025.281
2024-05-24,22432.188
2024-05-28,22975.75
2024-05-29,22969.982
2024-05-30,22463.348
2024-05-31,22375.092
2024-06-03,22870.59
2024-06-04,22992.188
2024-06-05,23682.344
2024-06-06,23653.414
2024-06-07,23613.047
2024-06-10,23769.426
2024-06-11,23922.602
2024-06-12,24399.04
2024-06-13,24632.088
2024-06-14,24766.37
2024-06-17,24888.73
2024-06-18,25032.826
2024-06-20,24712.582
2024-06-21,24461.459
2024-06-24,23860.111
2024-06-25,24658.553
2024-06-26,24919.258
2024-06-27,24915.01
2024-06-28,24567.352
2024-07-01,24900.174
2024-07-02,25122.047
2024-07-03,25625.105
2024-07-05,25965.402
2024-07-08,26014.434
2024-07-09,26281.916
2024-07-10,26692.445
2024-07-11,25535.266
2024-07-12,25596.357
2024-07-15,25588.469
2024-07-16,25363.48
2024-07-17,24265.223
2024-07-18,24443.338
2024-07-19,24131.246
2024-07-22,24789.395
2024-07-23,24771.7
2024-07-24,23345.201
2024-07-25,23010.816
2024-07-26,23251.395
2024-07-29,23304.686
2024-07-30,22644.34
2024-07-31,23830.367
2024-08-01,23297.15
2024-08-02,22690.072
2024-08-05,21659.13
2024-08-06,22108.004
2024-08-07,21664.848
2024-08-08,22471.938
2024-08-09,22629.078
2024-08-12,22881.965
2024-08-13,23718.564
2024-08-14,23748.574
2024-08-15,24447.074
2024-08-16,24502.36
2024-08-19,25026.195
2024-08-20,24843.031
2024-08-21,25017.143
2024-08-22,24411.71
2024-08-23,24903.59
2024-08-26,24555.887
2024-08-27,24588.107
2024-08-28,24264.148
2024-08-29,23784.273
2024-08-30,24120.988
2024-09-03,23005.828
2024-09-04,22887.434
2024-09-05,23164.387
2024-09-06,22325.121
2024-09-09,22709.2
2024-09-10,22994.768
2024-09-11,23856.451
2024-09-12,24259.137
2024-09-13,24301.502
2024-09-16,24131.062
2024-09-17,24158.377
2024-09-18,24031.482
2024-09-19,24874.477
2024-09-20,24741.168
2024-09-23,24858.998
2024-09-24,25188.586
2024-09-25,25413.146
2024-09-26,25428.762
2024-09-27,25251.082
2024-09-30,25380.107
2024-10-01,24963.857
2024-10-02,24949.11
2024-10-03,25197.082
2024-10-04,25623.178
2024-10-07,25413.219
2024-10-08,25987.045
2024-10-09,25971.723
2024-10-10,26047.691
2024-10-11,25973.148
2024-10-14,26271.945
2024-10-15,25826.871
2024-10-16,25982.543
2024-10-17,26046.988
2024-10-18,26177.559
2024-10-21,26569.066
2024-10-22,26685.77
2024-10-23,26036.537
2024-10-24,26522.3
2024-10-25,26803.207
2024-10-28,26766.0
2024-10-29,27042.543
2024-10-30,26944.707
2024-10-31,25882.879
2024-11-01,26204.812
2024-11-04,26061.871
2024-11-05,26592.168
2024-11-06,27512.168
2024-11-07,28163.22
2024-11-08,28168.371
2024-11-11,28132.742
2024-11-12,28260.629
2024-11-13,28144.14
2024-11-14,27958.727
2024-11-15,27226.9
2024-11-18,27308.928
2024-11-19,27990.916
2024-11-20,27864.602
2024-11-21,27681.027
2024-11-22,27402.715
2024-11-25,27083.906
2024-11-26,27404.03
2024-11-27,27156.271
2024-11-29,27551.176
2024-12-02,27984.44
2024-12-03,28312.469
2024-12-04,28844.688
2024-12-05,28923.527
2024-12-06,29159.95
2024-12-09,28873.59
2024-12-10,28880.61
2024-12-11,29719.096
2024-12-12,29465.64
2024-12-13,29237.254
2024-12-16,29561.41
2024-12-17,29537.99
2024-12-18,28519.113
2024-12-19,28647.986
2024-12-20,28814.49
2024-12-23,29413.47
2024-12-24,29902.336
2024-12-26,29743.83
2024-12-27,29171.434
2024-12-30,28890.338
2024-12-31,28420.93
